nifty50,next50,midcap,smallcap,selfstocks,microcap,mflist
HDFCBANK,PNB,PERSISTENT,CDSL,3MINDIA,NEULANDLAB,
RELIANCE,TRENT,KALYANKJIL,IIFL,ATUL,GHCL,
ICICIBANK,VEDL,PATANJALI,PRAJIND,PAGEIND,SUPRIYA,
INFY,ZYDUSLIFE,APOLLOTYRE,CEATLTD,PERSISTENT,PURVA,
LT,BEL,KPITTECH,MGL,COFORGE,RPOWER,
ITC,JIOFIN,SAIL,GNFC,ASTRAL,JPASSOCIAT,
TCS,CANBK,IGL,AMBER,IKIO,DHANUKA,
BHARTIARTL,RECLTD,IPCALAB,JYOTHYLAB,^NSEI,INFIBEAM,
AXISBANK,AMBUJACEM,MRF,JBCHEPHARM,^NSEMDCP50,ORIENTCEM,
SBIN,IOC,PETRONET,INTELLECT,NIFTY_MIDCAP_100,KPIGREEN,
KOTAKBANK,PFC,JSWINFRA,ARE&M,^CNXSC,ROSSARI,
HINDUNILVR,BANKBARODA,INDUSTOWER,KARURVYSYA,NIFTYSMLCAP250,TDPOWERSYS,
BAJFINANCE,ICICIPRULI,GODREJPROP,UJJIVANSFB,^CNXAUTO,LUXIND,
ASIANPAINT,NAUKRI,SUPREMEIND,GESHIP,^CNXPHARMA,NETWEB,
M&M,GAIL,LUPIN,TRITURBINE,^CNXMETAL,OPTIEMUS,
TITAN,GODREJCP,OIL,MEDANTA,^CNXFMCG,NAZARA,
HCLTECH,BAJAJHLDNG,MAXHEALTH,TITAGARH,^CNXIT,JPPOWER,
MARUTI,DLF,FACT,SHYAMMETL,^CNXENERGY,AARTIPHARM,
SUNPHARMA,TVSMOTOR,NHPC,MCX,^CNXREALTY,INDIAGLYCO,
NTPC,TORNTPHARM,JUBLFOOD,HFCL,^CNXPSUBANK,RTNPOWER,
TATAMOTORS,BERGEPAINT,PRESTIGE,NATCOPHARM,^CNXMEDIA,DBREALTY,
TATASTEEL,PIDILITIND,BANDHANBNK,CAMS,^CNXINFRA,CARTRADE,
ULTRACEMCO,MARICO,DIXON,CHAMBLFERT,^CNXFIN,GALAXYSURF,
INDUSINDBK,IRFC,AUROPHARMA,CENTRALBK,^CNXCONSUM,RESPONIND,
POWERGRID,TATAPOWER,BIOCON,WELSPUNLIV,^CNXCMDT,ADVENZYMES,
BAJAJFINSV,INDIGO,LALPATHLAB,UCOBANK,^CNXPSE,DCAL,
NESTLEIND,ICICIGI,BHEL,NATIONALUM,^CNXSERVICE,ITDCEM,
ADANIENT,ADANIPOWER,ALKEM,REDINGTON,^CNXMNC,DBL,
COALINDIA,SHREECEM,APLAPOLLO,GLENMARK,NIFTY_FIN_SERVICE,NAVNETEDUL,
TECHM,DABUR,LICHSGFIN,AFFLE,BSE-SMLCAP.BO,TECHNOE,
ONGC,LICI,DALBHARAT,RKFORGE,WHIRLPOOL,NAVA,
HINDALCO,IRCTC,TATACHEM,ANGELONE,KIMS,TTKPRESTIG,
JSWSTEEL,ZOMATO,LTF,ALOKINDS,PAGEIND,RALLIS,
GRASIM,COLPAL,ABCAPITAL,BSOFT,HONAUT,GODREJAGRO,
HDFCLIFE,HAL,YESBANK,CENTURYTEX,BOSCHLTD,GABRIEL,
DRREDDY,JINDALSTEL,TIINDIA,NSLNISP,,BLUEJET,
BAJAJ-AUTO,UNITDSPR,PEL,HSCL,,IPL,
ADANIPORTS,ATGL,BSE,SONATSOFTW,,PRICOLLTD,
SBILIFE,VBL,BALKRISIND,ITI,,PSPPROJECT,
CIPLA,SBICARD,IDBI,IEX,,GUJALKALI,
SHRIRAMFIN,ADANIGREEN,CGPOWER,NH,,AARTIDRUGS,
WIPRO,ADANIENSOL,POONAWALLA,IOB,,HGINFRA,
BRITANNIA,CHOLAFIN,POLICYBZR,CANFINHOME,,SBCL,
TATACONSUM,SRF,RVNL,RENUKA,,ELECTCAST,
APOLLOHOSP,SIEMENS,MPHASIS,MRPL,,SHILPAMED,
EICHERMOT,ABB,AUBANK,HAPPSTMNDS,,TEGA,
LTIM,HAVELLS,NMDC,CUB,,SINDHUTRAD,
HEROMOTOCO,BOSCHLTD,INDIANB,ZENSARTECH,,JLHL,
DIVISLAB,MOTHERSON,TATATECH,IRB,,INDIASHLTR,
BPCL,DMART,UPL,APARINDS,,IFBIND,
,UPL,GLAND,TRIDENT,,ACCELYA,
,,FEDERALBNK,RBLBANK,,TI,
,,LAURUSLABS,IRCON,,UNIPARTS,
,,OBEROIRLTY,AARTIIND,,EMUDHRA,
,,OFSS,NCC,,EPIGRAL,
,,ZEEL,IDFC,,FLAIR,
,,ESCORTS,CYIENT,,IKIO,
,,LTTS,GSPL,,HINDOILEXP,
,,GUJGASLTD,OLECTRA,,SUPRAJIT,
,,TATAELXSI,FIVESTAR,,LLOYDSENGG,
,,IDFCFIRSTB,PPLPHARMA,,MSTCLTD,
